"","Date","cuts","Day","Weekend","Workday","Location","CounterID","Holiday","Likely.abnormal","OPM.Closure","Other.events","Total","PedIN","PedOUT","BikeIN","BikeOUT","PedTOTAL","BikeTOTAL","TotalOUT","TotalIN"
"130",2010-09-06,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",147,NA,NA,NA,NA,80,67,NA,NA
"131",2010-10-11,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",126,NA,NA,NA,NA,52,74,NA,NA
"132",2011-01-17,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",32,NA,NA,NA,NA,24,8,NA,NA
"133",2011-02-21,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",23,NA,NA,NA,NA,16,7,NA,NA
"134",2011-05-30,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",148,NA,NA,NA,NA,51,97,NA,NA
"135",2011-07-04,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",748,NA,NA,NA,NA,387,361,NA,NA
"136",2011-09-05,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",52,NA,NA,NA,NA,36,16,NA,NA
"137",2011-10-10,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",147,NA,NA,NA,NA,73,74,NA,NA
"138",2011-12-26,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",26,NA,NA,NA,NA,21,5,NA,NA
"139",2012-01-02,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",21,NA,NA,NA,NA,16,5,NA,NA
"140",2012-01-16,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",30,NA,NA,NA,NA,18,12,NA,NA
"141",2012-02-20,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",51,NA,NA,NA,NA,32,19,NA,NA
"142",2012-05-28,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",153,NA,NA,NA,NA,47,106,NA,NA
"143",2012-09-03,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",106,NA,NA,NA,NA,55,51,NA,NA
"144",2012-10-08,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",71,NA,NA,NA,NA,24,47,NA,NA
"145",2012-11-12,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",155,NA,NA,NA,NA,63,92,NA,NA
"146",2013-01-21,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",51,NA,NA,NA,NA,20,31,NA,NA
"147",2013-02-18,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",42,NA,NA,NA,NA,19,23,NA,NA
"148",2013-05-27,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",131,NA,NA,NA,NA,70,61,NA,NA
"149",2013-09-02,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",132,NA,NA,NA,NA,63,69,NA,NA
"150",2013-11-11,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",125,NA,NA,NA,NA,64,61,NA,NA
"151",2009-11-26,"[0,0.292)","Thursday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",9,NA,NA,NA,NA,6,3,NA,NA
"152",2010-11-11,"[0,0.292)","Thursday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",49,NA,NA,NA,NA,20,29,NA,NA
"153",2010-11-25,"[0,0.292)","Thursday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",5,NA,NA,NA,NA,2,3,NA,NA
"154",2011-11-24,"[0,0.292)","Thursday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",6,NA,NA,NA,NA,2,4,NA,NA
"155",2012-11-22,"[0,0.292)","Thursday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",19,NA,NA,NA,NA,8,11,NA,NA
